"","Year","Month","Text","Count"
"1",2020,1,"coronavirus",30104
"2",2020,1,"salud",1959
"3",2020,1,"emergencia internacional",1420
"4",2020,1,"amoxicilina",1076
"5",2020,1,"2019-ncov",734
"6",2020,2,"coronavirus",400388
"7",2020,2,"covid-19",41327
"8",2020,2,"covid19",31946
"9",2020,2,"corona",12408
"10",2020,2,"salud",9727
"11",2020,3,"coronavirus",801719
"12",2020,3,"covid-19",674642
"13",2020,3,"covid19",250260
"14",2020,3,"covid",140132
"15",2020,3,"covidー19",42697
"16",2020,4,"covid-19",1416686
"17",2020,4,"coronavirus",640087
"18",2020,4,"covid19",491877
"19",2020,4,"covid",423620
"20",2020,4,"covidー19",48288
"21",2020,6,"covid-19",1719358
"22",2020,6,"covid19",1075337
"23",2020,6,"covid",626282
"24",2020,6,"coronavirus",487831
"25",2020,6,"covid 19",48549
"26",2020,8,"covid-19",1799164
"27",2020,8,"covid19",947625
"28",2020,8,"covid",837824
"29",2020,8,"coronavirus",399595
"30",2020,8,"covidー19",29967
"31",2020,9,"covid-19",1314483
"32",2020,9,"covid19",765640
"33",2020,9,"covid",649594
"34",2020,9,"coronavirus",319271
"35",2020,9,"pcr",28558
"36",2020,11,"covid-19",855954
"37",2020,11,"covid",508455
"38",2020,11,"covid19",474728
"39",2020,11,"coronavirus",182822
"40",2020,11,"ganemoslabatallaalcovid19",33403
"41",2020,12,"covid-19",1531709
"42",2020,12,"covid",896884
"43",2020,12,"covid19",725460
"44",2020,12,"coronavirus",359008
"45",2020,12,"cuídatedelcovid19",50418
